student_id,cgpa,technical_skills,soft_skills,internships,projects_done,preferred_work_environment,learning_attitude,practical_experience,career_prediction
1,3.8,Python,Communication,Yes,3,Startup,Quick Learner,Medium,Data Scientist
2,3.6,SQL,Leadership,No,1,MNC,Average,High,Web Developer
3,3.2,Java,Problem Solving,Yes,2,Research,Quick Learner,Low,ML Engineer
4,3.5,"Python, SQL",Communication,No,0,Freelance,Needs Improvement,Medium,Data Scientist
5,3.9,"Python, Java, SQL",Leadership,Yes,5,Startup,Quick Learner,High,Data Scientist
6,3.1,"Java, SQL",Communication,No,1,MNC,Average,Medium,Web Developer
7,3.4,"Python, SQL",Problem Solving,Yes,4,Freelance,Quick Learner,Low,ML Engineer
8,3.7,Python,Communication,Yes,3,Research,Average,High,Data Scientist
9,3.3,"Java, SQL",Leadership,No,2,MNC,Needs Improvement,Medium,Web Developer
10,3.2,"Python, Java",Problem Solving,Yes,0,Startup,Quick Learner,Low,ML Engineer
11,3.9,"SQL, Python",Communication,Yes,3,Research,Average,Medium,Data Scientist
12,3.6,"Java, SQL",Leadership,No,1,Freelance,Needs Improvement,High,Web Developer
13,3.4,"Python, Java",Communication,Yes,2,MNC,Quick Learner,Medium,ML Engineer
14,3.1,"Python, SQL",Leadership,Yes,4,Startup,Average,Low,Data Scientist
15,3.5,"Java, SQL",Communication,No,0,Research,Needs Improvement,High,Web Developer
16,3.3,Python,Problem Solving,Yes,3,Freelance,Quick Learner,Medium,ML Engineer
17,3.8,"SQL, Java",Leadership,No,1,MNC,Average,Low,Data Scientist
18,3.7,"Python, SQL",Communication,Yes,2,Startup,Quick Learner,High,Web Developer
19,3.4,"Java, Python",Leadership,No,4,Research,Average,Medium,ML Engineer
20,3.0,"Python, SQL",Communication,Yes,1,Freelance,Needs Improvement,Low,Data Scientist
21,3.7,Python,Leadership,Yes,3,Startup,Quick Learner,High,DevOps Engineer
22,3.2,"Java, SQL",Communication,No,1,MNC,Average,Medium,Web Developer
23,3.8,"Python, SQL",Problem Solving,Yes,4,Research,Quick Learner,Low,ML Engineer
24,3.5,Java,Leadership,No,0,Freelance,Needs Improvement,Medium,Data Scientist
25,3.9,"Python, Java",Communication,Yes,5,Startup,Quick Learner,High,Data Scientist
26,3.1,"SQL, Python",Problem Solving,No,1,MNC,Average,Medium,Web Developer
27,3.6,"Java, Python",Leadership,Yes,2,Freelance,Quick Learner,Low,ML Engineer
28,3.4,"Python, SQL",Communication,Yes,3,Research,Average,High,Data Scientist
29,3.2,"Java, SQL",Problem Solving,No,2,MNC,Needs Improvement,Medium,Web Developer
30,3.8,"Python, Java, SQL",Leadership,Yes,0,Startup,Quick Learner,Low,ML Engineer
31,3.7,"SQL, Python",Communication,Yes,3,Research,Average,Medium,Data Scientist
32,3.6,"Java, SQL",Leadership,No,1,Freelance,Needs Improvement,High,Web Developer
33,3.4,"Python, Java",Communication,Yes,2,MNC,Quick Learner,Medium,ML Engineer
34,3.1,"Python, SQL",Leadership,Yes,4,Startup,Average,Low,Data Scientist
35,3.5,"Java, SQL",Communication,No,0,Research,Needs Improvement,High,Web Developer
36,3.3,Python,Problem Solving,Yes,3,Freelance,Quick Learner,Medium,ML Engineer
37,3.8,"SQL, Java",Leadership,No,1,MNC,Average,Low,Data Scientist
38,3.7,"Python, SQL",Communication,Yes,2,Startup,Quick Learner,High,Web Developer
39,3.4,"Java, Python",Leadership,No,4,Research,Average,Medium,ML Engineer
40,3.0,"Python, SQL",Communication,Yes,1,Freelance,Needs Improvement,Low,Data Scientist
41,3.9,"Python, Java",Communication,Yes,3,Startup,Quick Learner,Medium,Data Scientist
42,3.5,"SQL, Python",Leadership,No,1,MNC,Average,High,Web Developer
43,3.1,"Java, Python",Problem Solving,Yes,2,Research,Quick Learner,Low,ML Engineer
